id,date,datetime,category,headline,summary,source,url,related,image
7670070,2026-03-20 14:23:00,1774016580,business,"Nexstar, Tegna merger closes after winning regulatory approval",Nexstar has closed its $6.2 billion acquisition of Tegna after winning approval from the Federal Communications Commission and Department of Justice.,CNBC,https://www.cnbc.com/2026/03/20/nexstar-tegna-merger-closes-after-winning-regulatory-approval-.html,,https://image.cnbcfm.com/api/v1/image/108233565-1764349433841-gettyimages-1234736300-PGONCHAR_W6645.jpeg?v=1774009423&w=1920&h=1080
7670291,2026-03-20 13:53:16,1774014796,business,"Trump calls NATO ""cowards"" over lack of support in Iran war - Reuters","Trump calls NATO ""cowards"" over lack of support in Iran war  Reuters",Reuters,https://news.google.com/rss/articles/CBMimAFBVV95cUxOMkFlM1VHM0txVDRyak1raV9VcnE2N2VvUGtGZ0h2Q3JSbTgzS1FVQ1Y2cGRUS2xBYXFKYmlTRV90d25CM3BTRGlhUG9mUjRldV9hbC1uZEtRY3BBbTY0OWpIQWxZTTFxcXIxZ0h6cGhkZ0FMdXJzWE1MdWotWXJOWktqRmZDcmg4YURseGNDWmx5bC00ZjRMUg?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7670919,2026-03-20 13:27:00,1774013220,business,"Attacks on major oil, gas sites in the Middle East - Reuters","Attacks on major oil, gas sites in the Middle East  Reuters",Reuters,https://news.google.com/rss/articles/CBMiwAFBVV95cUxOOG4tcXhwUlRtUFFoNk80Z0c3dVpfMDdGR2lqTU9iT29CTW0xYmM1Y05MeEVaUmdTSVZjbUxDRE5pRW5ucHlCNnRVbGdKMTdNVGpQQ3E1Zk9lZDFfdGFnbGtodTFuOFNvY0hVSnQ0UEdmQWVScGR6WG8yYktsSVQwSEFySTZyQUtkaVBZVTRXS214RTJ1U0lrLVBEeVFoalllSFVsNWdCQWg5RWxaeGF6eWlxMVhoMG90WF9NX05VNmQ?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7669742,2026-03-20 13:09:00,1774012140,top news,"Fed’s Waller says he doesn’t support rate hikes, sees inflation cooling in second half of the year",,MarketWatch,https://www.marketwatch.com/story/feds-waller-says-he-doesnt-support-rate-hikes-sees-inflation-cooling-in-second-half-of-the-year-3ca9f671,,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png
7669741,2026-03-20 12:50:15,1774011015,top news,Jim Cramer's top 10 things to watch in the stock market Friday,Stocks continue losing streak as oil marches higher amid escalating Mideast conflict.,CNBC,https://www.cnbc.com/2026/03/20/jim-cramers-top-10-things-to-watch-in-the-stock-market-friday.html,,https://image.cnbcfm.com/api/v1/image/108243317-1766011866158-gettyimages-2251801013-FEDEX_EARNS.jpeg?v=1773874188&w=1920&h=1080
7670502,2026-03-20 12:48:01,1774010881,business,India sees Qatar LNG supply cut after Iran strike - Reuters,India sees Qatar LNG supply cut after Iran strike  Reuters,Reuters,https://news.google.com/rss/articles/CBMiowFBVV95cUxPeUxTbXdoZURlLUFRcnFaYXRQX3dxekd2VllrRGpQTjVGUmRpUTBIXzVXTHZnODZ3cDNTQjlsaGhyQkNqOUt5VDdJR0ltOUk0VnZnTjVGTFBUaldBVkZuZ290elNpUVBCcWFuRUctdG1MY3h1UWNKMEUxMDdoYzg2LWNUd3h3UEtiLW0xaXVWU3FLcGxKOG9QeGlYa3ljN0x3YlFN?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7671236,2026-03-20 12:39:02,1774010342,business,Fed officials say Iran war obscuring outlook as traders price in rate hike - Reuters,Fed officials say Iran war obscuring outlook as traders price in rate hike  Reuters,Reuters,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNUmZhRkl4THAteFNCdmpKdko5RmR2MHNsSFJ4N244ZWFHMjFlelFmLXZBTmhPQk12d3RDZGdaMUtQaFMyMHR2N0JMVU9NOVhXNFhHeFBpTm9MRFJrd25IRDJsVldqNExUc3RPbm5vQk51VGItV3ExRk1UVk50aFpURVRlcmRDV3kzMXhqZkVSR1BNeUZQQ2haMDU5ckpWN2JkQk1qSS1NWVhpbWtFd1dkQzBSWEw4UXdRNTJ0UWZxVzBhQ25xcC02bWF2RWgzNlBtb0p2ZjBWTEw5SzQ?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7670182,2026-03-20 12:11:49,1774008709,business,"Switzerland halts weapons exports to US due to Iran war, citing neutrality - Reuters","Switzerland halts weapons exports to US due to Iran war, citing neutrality  Reuters",Reuters,https://news.google.com/rss/articles/CBMitwFBVV95cUxPOWNhQlJuenY5RExVUDhHdlJwTjBxQjhjNUJpRkhNcDh3RGZCRU9mUUJ5blA2Yk9IUEZYNm0tc1duanJCVXkwdjRVQmxEcmxpYnZvSTJ2c1U5ZTlkei1KalNiUDZkNGhhRXpkOEVnV3RWRl9NS1NMNDByOGdZck1VV0NvYTQ2UnFDRENEUm1TM3c3Q2tpS0UtdGlnRnFYU3QzU3RTUG5kVThwMV9yTzJsaVUybmo0NFU?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7670292,2026-03-20 11:38:08,1774006688,business,Netherlands tightens security for Iranian dissidents after shooting of man critical of Iran authorities - Reuters,Netherlands tightens security for Iranian dissidents after shooting of man critical of Iran authorities  Reuters,Reuters,https://news.google.com/rss/articles/CBMiygFBVV95cUxOa1pjbnpVUWhETERIYXJSWDk3TWZtdTVaVlpFQzNMYlY5RU9BLV9Cb1hwSEc4dHFTODZiU3VqcFN2ZzZpUVRITWVvQWZKRXZ5ekhaMmpDQ0hoMWU0NUdJdlJFdTlucXhudXh4NG53T29QbEFOYWMybHhXRW5uMVoxMzVoc2FrNjU5LXRSOWs5OVJQMVRBUkNBZWZtVzRXOW42dWpoSjIyME5qb0xMdTZRb3FfcXNTaHNFUHk5NUNEb0xyR2x3VC1jYUtR?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7669745,2026-03-20 11:26:06,1774005966,business,"Removing sanctions on Iran oil will bring supply to ports, US energy secretary says - Reuters","Removing sanctions on Iran oil will bring supply to ports, US energy secretary says  Reuters",Reuters,https://news.google.com/rss/articles/CBMiygFBVV95cUxOV2xiUDNnNFhKU05US0lXUWFoZWFrRXVuUzlER2xlcU9RRUd2QnkyVzk0Zm9vTjRtdTdwWUktdk5ZMzV5aUtEclk5VTFza1JuZTBHMkZ2cjhYc3pReE9ORnFsUXFZNVBzMWxxOFFob290UEpIUC03NnRZa0h5UU0wNnFFYnFCWTFhZ2NhdWRPODdVa1ZlZDk5Ul8zWmUwY1RLb0k4YlZzSUNiZnpsQXFCLVp6aks1N3hncUtqcU5RaktBaUg0LUZobXBR?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
